region,year,Oil,Gas,Coal,player
Africa_Eastern,2050,-0.00522,0.05921133,0.0382325,Importer
Africa_Northern,2050,0.986006,0.9444346,0.0056758,Exporter
Africa_Southern,2050,0.150793,0.027513472,0.074214,Exporter
Africa_Western,2050,0.12333,0.072861973,0.0038631,Exporter
Argentina,2050,0.00385,0.22641603,0.00362214,Exporter
Australia_NZ,2050,0.113268,0.14514102,5.798563,Exporter
Brazil,2050,0.12499,0.1321996,0.078894,Importer
Canada,2050,2.04427,0.15050412,0.57982,Exporter
Central America and Caribbean,2050,0.039153,0.15003944,0.00904619,Importer
Central Asia,2050,0.529233,1.6027116,2.252268,Exporter
China,2050,-0.1497,3.189690365,3.872,Importer
Colombia,2050,0.176492,0.078520948,0.73704,Exporter
EU-12,2050,-0.080815,1.071765845,0.39124,Importer
EU-15,2050,-0.12668,3.4944473,0.94168,Importer
Europe_Eastern,2050,0.135189,0.617093066,0.891748,Exporter
Europe_Non_EU,2050,-0.0007541,0.43658008,0.07418,Importer
European Free Trade Association,2050,0.373086,1.080066128,0.0065506,Exporter
India,2050,0.01786,0.47574415,2.244,Importer
Indonesia,2050,0.108407,0.196871627,2.03057,Exporter
Japan,2050,-0.0147777,0.21978626,0.212372,Importer
Mexico,2050,0.298158,0.2076293,0.069321,Importer
Middle East,2050,6.59062,0.5551816,0.0062819,Exporter
Pakistan,2050,0.026095,0.129018082,0.042345,Importer
Russia,2050,-13.992306,-16.21951407,-33.0180035,Russia
South Africa,2050,-0.0047403,0.0414711,2.080836,Exporter
South America_Northern,2050,1.524532,-0.002059881,0.02207638,Exporter
South America_Southern,2050,0.05539,0.159912194,0.0436522,Importer
South Asia,2050,0.022055,0.037616,0.083405,Importer
South Korea,2050,-0.0129309,0.072496728,0.10691,Importer
Southeast Asia,2050,0.52063,0.1731447,0.80743,Importer
Taiwan,2050,0.0006011,0.037302837,0.0467701,Importer
USA,2050,0.43321,0.4368476,9.46424,Exporter
